Elephant_seal_ID,Sex,ProcedureDate,ForagingBloodPairedSubset,ForagingHairPairedSubset,ForagingMusclePairedSubset,FastingBloodPairedSubset,FastingHairPairedSubset,FastingMusclePairedSubset,Foraging_Trip,TimePeriod_Cross_Foraging_Analysis,Fasting_Period,TimePeriod_Cross_Fasting_Analysis,Mass_Procedure_kg,Standard_Length_cm,Blood_THg_ppm_ww,Muscle_THg_ppm_dw,Hair_THg_ppm_dw
1015,Female,5/8/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,389,266,0.46,3.14,20.1
1244,Female,3/30/11,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,445,266,0.31,NA,11.29
1712,Female,5/6/11,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,419,279,0.47,NA,16.02
1809,Female,5/14/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,405,270,0.36,2.58,8.42
1885,Female,5/26/11,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,511,274,0.43,NA,24.82
2028,Female,4/23/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,462,283,0.45,7.1,17.93
2980,Female,5/6/11,Yes,No,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,383,269,0.39,6.8,NA
3224,Female,5/1/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,370,250,0.46,5.42,7.82
3236,Female,5/19/11,No,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,336,253,NA,6.78,12.09
3588,Female,5/7/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,367,253,0.44,4.32,13.04
5413,Male,8/2/11,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,NA,383,0.61,7.57,6.26
6249,Male,7/18/11,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,NA,370,0.76,NA,26.34
M778,Female,5/12/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,466,278,0.31,5.3,10.9
T19,Female,5/6/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,390,267,0.43,5.83,10.73
T220,Female,5/15/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,423,265,0.37,5.92,14.04
T28,Female,4/17/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,410,261,0.43,4.92,8.55
T35,Female,5/10/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,423,261,0.55,6.17,8.15
T911,Female,5/5/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,371,258,0.39,5.53,17.45
T920,Female,5/14/11,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,342,237,0.35,5.34,19.26
